time, pos, vel, LA.acc, accMax, decMax, vMax, target, HA
59.000000, 68.139487, 23.428159, 3.984566, 4.000000, -3.000000, 30.000000, 300.000000, 0
60.000000, 70.502225, 23.826616, 4.229828, 4.000000, -3.000000, 30.000000, 300.000000, 0
61.000000, 72.906036, 24.249599, 3.963556, 4.000000, -3.000000, 30.000000, 300.000000, 0
62.000000, 75.350814, 24.645954, 4.111150, 4.000000, -3.000000, 30.000000, 300.000000, 0
63.000000, 77.835965, 25.057069, 4.022951, 4.000000, -3.000000, 30.000000, 300.000000, 0
64.000000, 80.361787, 25.459364, 3.872689, 4.000000, -3.000000, 30.000000, 300.000000, 0
65.000000, 82.927087, 25.846633, 4.113366, 4.000000, -3.000000, 30.000000, 300.000000, 0
66.000000, 85.532317, 26.257970, 4.080790, 4.000000, -3.000000, 30.000000, 300.000000, 0
67.000000, 88.178518, 26.666049, 3.903406, 4.000000, -3.000000, 30.000000, 300.000000, 0
68.000000, 90.864640, 27.056389, 4.142884, 4.000000, -3.000000, 30.000000, 300.000000, 0
69.000000, 93.590993, 27.470678, 3.951186, 4.000000, -3.000000, 30.000000, 300.000000, 0
70.000000, 96.357817, 27.865796, 4.124763, 4.000000, -3.000000, 30.000000, 300.000000, 0
71.000000, 99.165020, 28.278272, 3.898960, 4.000000, -3.000000, 30.000000, 300.000000, 0
72.000000, 102.012342, 28.668168, 3.928310, 4.000000, -3.000000, 30.000000, 300.000000, 0
73.000000, 104.898800, 29.060999, 4.099081, 4.000000, -3.000000, 30.000000, 300.000000, 0
74.000000, 107.825396, 29.470908, 4.066118, 4.000000, -3.000000, 30.000000, 300.000000, 0
75.000000, 110.792817, 29.877519, 3.954837, 4.000000, -3.000000, 30.000000, 300.000000, 0
76.000000, 113.800343, 30.273003, 1.386711, 4.000000, -3.000000, 30.000000, 300.000000, 2
77.000000, 116.834577, 30.411674, -0.073621, 4.000000, -3.000000, 30.000000, 300.000000, 2
78.000000, 119.875376, 30.404312, 0.057429, 4.000000, -3.000000, 30.000000, 300.000000, 2
79.000000, 122.916095, 30.410055, -0.118325, 4.000000, -3.000000, 30.000000, 300.000000, 2
80.000000, 125.956509, 30.398222, 0.088240, 4.000000, -3.000000, 30.000000, 300.000000, 2
81.000000, 128.996772, 30.407046, 0.032786, 4.000000, -3.000000, 30.000000, 300.000000, 2
82.000000, 132.037641, 30.410325, 0.054624, 4.000000, -3.000000, 30.000000, 300.000000, 2
83.000000, 135.078946, 30.415788, -0.014526, 4.000000, -3.000000, 30.000000, 300.000000, 2
84.000000, 138.120452, 30.414335, -0.009333, 4.000000, -3.000000, 30.000000, 300.000000, 2
85.000000, 141.161839, 30.413402, 0.101657, 4.000000, -3.000000, 30.000000, 300.000000, 2
86.000000, 144.203688, 30.423567, -0.170772, 4.000000, -3.000000, 30.000000, 300.000000, 2
87.000000, 147.245191, 30.406490, -0.199145, 4.000000, -3.000000, 30.000000, 300.000000, 2
88.000000, 150.284844, 30.386576, -2.300743, 4.000000, -3.000000, 30.000000, 300.000000, 1
89.000000, 153.311998, 30.156501, -3.226062, 4.000000, -3.000000, 30.000000, 300.000000, 1
90.000000, 156.311517, 29.833895, -2.937639, 4.000000, -3.000000, 30.000000, 300.000000, 1
91.000000, 159.280219, 29.540131, -2.701151, 4.000000, -3.000000, 30.000000, 300.000000, 1
92.000000, 162.220726, 29.270016, -3.003145, 4.000000, -3.000000, 30.000000, 300.000000, 1
93.000000, 165.132712, 28.969702, -2.869599, 4.000000, -3.000000, 30.000000, 300.000000, 1
94.000000, 168.015334, 28.682742, -3.125338, 4.000000, -3.000000, 30.000000, 300.000000, 1
95.000000, 170.867982, 28.370208, -3.095821, 4.000000, -3.000000, 30.000000, 300.000000, 1
96.000000, 173.689523, 28.060626, -3.066742, 4.000000, -3.000000, 30.000000, 300.000000, 1
97.000000, 176.480252, 27.753952, -3.062604, 4.000000, -3.000000, 30.000000, 300.000000, 1
98.000000, 179.240334, 27.447691, -2.962085, 4.000000, -3.000000, 30.000000, 300.000000, 1
99.000000, 181.970293, 27.151483, -2.989324, 4.000000, -3.000000, 30.000000, 300.000000, 1
100.000000, 184.670495, 26.852550, -3.126748, 4.000000, -3.000000, 30.000000, 300.000000, 1
101.000000, 187.340116, 26.539875, -3.050131, 4.000000, -3.000000, 30.000000, 300.000000, 1
102.000000, 189.978853, 26.234862, -3.076863, 4.000000, -3.000000, 30.000000, 300.000000, 1
103.000000, 192.586955, 25.927176, -3.089041, 4.000000, -3.000000, 30.000000, 300.000000, 1
104.000000, 195.164227, 25.618272, -3.015185, 4.000000, -3.000000, 30.000000, 300.000000, 1
105.000000, 197.710978, 25.316753, -2.987077, 4.000000, -3.000000, 30.000000, 300.000000, 1
106.000000, 200.227718, 25.018046, -3.068663, 4.000000, -3.000000, 30.000000, 300.000000, 1
107.000000, 202.714180, 24.711179, -3.225970, 4.000000, -3.000000, 30.000000, 300.000000, 1
108.000000, 205.169168, 24.388582, -2.996923, 4.000000, -3.000000, 30.000000, 300.000000, 1
109.000000, 207.593041, 24.088890, -2.814321, 4.000000, -3.000000, 30.000000, 300.000000, 1
110.000000, 209.987859, 23.807458, -2.952022, 4.000000, -3.000000, 30.000000, 300.000000, 1
111.000000, 212.353844, 23.512256, -3.019917, 4.000000, -3.000000, 30.000000, 300.000000, 1
112.000000, 214.689970, 23.210264, -3.302413, 4.000000, -3.000000, 30.000000, 300.000000, 1
