time,LA.acc,pos,decMax,accMax,vMax,vel,target,dns,HA
106.000000,-9.447366,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
107.000000,-9.208744,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
108.000000,-9.619844,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
109.000000,-8.441855,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
110.000000,-8.631638,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
111.000000,-8.910499,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
112.000000,-9.863268,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
113.000000,-8.939495,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
114.000000,-8.785347,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
115.000000,-8.467992,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
116.000000,-9.600713,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
117.000000,-9.073236,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
118.000000,-8.455479,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
119.000000,-8.693517,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
120.000000,-9.496982,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
121.000000,-9.585516,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
122.000000,-9.469274,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
123.000000,-8.616404,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
124.000000,-9.328585,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
125.000000,-9.097647,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
