time, x, v
23, 1.98375, 3.45
23, 3.9675, 6.9
23, 1.3225, 2.3
24, 2.88, 4.8
24, 1.44, 2.4
24, 2.16, 3.6
24, 4.32, 7.2
24, 1.44, 2.4
25, 3.125, 5
25, 1.5625, 2.5
25, 2.34375, 3.75
25, 4.6875, 7.5
25, 1.5625, 2.5
26, 3.38, 5.2
26, 1.69, 2.6
26, 2.535, 3.9
26, 5.07, 7.8
26, 1.69, 2.6
27, 3.645, 5.4
27, 1.8225, 2.7
27, 2.73375, 4.05
27, 5.4675, 8.1
27, 1.8225, 2.7
28, 3.92, 5.6
28, 1.96, 2.8
28, 2.94, 4.2
28, 5.88, 8.4
28, 1.96, 2.8
29, 4.205, 5.8
29, 2.1025, 2.9
29, 3.15375, 4.35
29, 6.3075, 8.7
29, 2.1025, 2.9
30, 4.5, 6
30, 2.25, 3
30, 3.375, 4.5
30, 6.75, 9
30, 2.25, 3
31, 4.805, 6.2
31, 2.4025, 3.1
31, 3.60375, 4.65
31, 7.2075, 9.3
31, 2.4025, 3.1
32, 5.12, 6.4
32, 2.56, 3.2
32, 3.84, 4.8
32, 7.68, 9.6
32, 2.56, 3.2
33, 5.445, 6.6
33, 2.7225, 3.3
33, 4.08375, 4.95
33, 8.1675, 9.9
33, 2.7225, 3.3
34, 5.78, 6.8
34, 2.89, 3.4
34, 4.335, 5.1
34, 8.67, 10.2
34, 2.89, 3.4
35, 6.125, 7
35, 3.0625, 3.5
35, 4.59375, 5.25
35, 9.1875, 10.5
35, 3.0625, 3.5
36, 6.48, 7.2
36, 3.24, 3.6
36, 4.86, 5.4
36, 9.72, 10.8
36, 3.24, 3.6
37, 6.845, 7.4
37, 3.4225, 3.7
37, 5.13375, 5.55
37, 10.2675, 11.1
37, 3.4225, 3.7
38, 7.22, 7.6
38, 3.61, 3.8
38, 5.415, 5.7
38, 10.82, 11
38, 3.61, 3.8
39, 7.605, 7.8
39, 3.8025, 3.9
39, 5.70375, 5.85
39, 11.3675, 10.9
39, 3.8025, 3.9
40, 8, 8
40, 4, 4
40, 6, 6
40, 11.91, 10.8
40, 4, 4
41, 8.405, 8.2
41, 4.2025, 4.1
41, 6.30375, 6.15
41, 12.4475, 10.7
41, 4.2025, 4.1
42, 8.82, 8.4
42, 4.41, 4.2
42, 6.615, 6.3
42, 12.98, 10.6
42, 4.41, 4.2
43, 9.245, 8.6
43, 4.6225, 4.3
43, 6.93375, 6.45
43, 13.5075, 10.5
43, 4.6225, 4.3
44, 9.68, 8.8
44, 4.84, 4.4
44, 7.26, 6.6
44, 14.03, 10.4
44, 4.84, 4.4
45, 10.125, 9
45, 5.0625, 4.5
45, 7.59375, 6.75
45, 14.5475, 10.3
45, 5.0625, 4.5
46, 10.58, 9.2
46, 5.29, 4.6
46, 7.935, 6.9
46, 15.06, 10.2
46, 5.29, 4.6
47, 11.045, 9.4
47, 5.5225, 4.7
47, 8.28375, 7.05
47, 15.5675, 10.1
47, 5.5225, 4.7
48, 11.52, 9.6
48, 5.76, 4.8
48, 8.64, 7.2
48, 16.07, 10
48, 5.76, 4.8
49, 12.005, 9.8
49, 6.0025, 4.9
49, 9.00375, 7.35
49, 16.5675, 9.9
49, 6.0025, 4.9
50, 12.5, 10
50, 6.25, 5
50, 9.375, 7.5
50, 17.06, 9.8
50, 6.25, 5
51, 13.005, 10.2
51, 6.5025, 5.1
51, 9.75375, 7.65
51, 17.5475, 9.7
51, 6.5025, 5.1
52, 13.52, 10.4
52, 6.76, 5.2
52, 10.14, 7.8
52, 18.03, 9.6
52, 6.76, 5.2
53, 14.045, 10.6
53, 7.0225, 5.3
53, 10.5338, 7.95
53, 18.5075, 9.5
53, 7.0225, 5.3
54, 14.58, 10.8
54, 7.29, 5.4
54, 10.935, 8.1
54, 18.98, 9.4
54, 7.29, 5.4
55, 15.125, 11
55, 7.5625, 5.5
55, 11.3438, 8.25
55, 19.4475, 9.3
55, 7.5625, 5.5
56, 15.68, 11.2
56, 7.84, 5.6
56, 11.76, 8.4
56, 19.91, 9.2
56, 7.84, 5.6
57, 16.245, 11.4
57, 8.1225, 5.7
57, 12.1838, 8.55
57, 20.3675, 9.1
57, 8.1225, 5.7
58, 16.82, 11.6
58, 8.41, 5.8
58, 12.615, 8.7
58, 20.82, 9
58, 8.41, 5.8
59, 17.405, 11.8
59, 8.7025, 5.9
59, 13.0538, 8.85
59, 21.2675, 8.9
59, 8.7025, 5.9
60, 18, 12
60, 9, 6
60, 13.5, 9
60, 21.71, 8.8
60, 9, 6
61, 18.605, 12.2
61, 9.3025, 6.1
61, 13.9538, 9.15
61, 22.1475, 8.7
