x, y, vx, vy, left_present, l_x, l_y, l_vx, l_vy, forward_present, f_x, f_y, f_vx, f_vy, right_present, r_x, r_y, r_vx, r_vy, LA.steer, LA.acc, target_lane, HA
0.0, 1.0, 0.228, 0.0, 1.0, 0.032, -1.0, 0.047, -0.0, 1.0, 0.075, 0.0, 0.025, -0.0, 1.0, 0.0, 1.0, 0.228, 0.0, -0.0, -10.457, 3, 1
0.0, 1.0, 0.226, 0.0, 1.0, 0.042, -1.0, 0.049, -0.0, 1.0, 0.08, 0.0, 0.027, -0.0, 1.0, 0.0, 1.0, 0.226, 0.0, -0.0, -10.191, 3, 1
0.0, 1.0, 0.226, 0.0, 1.0, 0.052, -1.0, 0.05, -0.0, 1.0, 0.085, 0.0, 0.028, -0.0, 1.0, 0.0, 1.0, 0.226, 0.0, -0.0, -10.08, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.062, -1.0, 0.05, -0.0, 1.0, 0.091, 0.0, 0.028, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.034, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.072, -1.0, 0.05, -0.0, 1.0, 0.097, 0.0, 0.028, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.014, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.082, -1.0, 0.05, -0.0, 1.0, 0.102, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.006, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.092, -1.0, 0.05, -0.0, 1.0, 0.108, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.002, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.102, -1.0, 0.05, -0.0, 1.0, 0.114, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.001, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.112, -1.0, 0.05, -0.0, 1.0, 0.12, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.122, -1.0, 0.05, -0.0, 1.0, 0.125, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.132, -1.0, 0.05, -0.0, 1.0, 0.131, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.142, -1.0, 0.05, -0.0, 1.0, 0.137, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.153, -1.0, 0.05, -0.0, 1.0, 0.143, 0.0, 0.029, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.225, 0.0, 1.0, 0.163, -1.0, 0.05, -0.0, 1.0, 0.149, 0.0, 0.03, -0.0, 1.0, 0.0, 1.0, 0.225, 0.0, -0.5, -0.0, 2, 2
1.0, 2.0, 0.22, -0.048, 1.0, 0.146, -1.0, 0.041, 0.048, 1.0, 0.174, 0.0, 0.056, 0.048, 1.0, 0.156, 1.0, 0.035, 0.048, 0.072, 10.0, 2, 0
1.0, 2.0, 0.246, -0.022, 1.0, 0.152, -1.0, 0.015, 0.022, 1.0, 0.182, 0.0, 0.03, 0.022, 1.0, 0.16, 1.0, 0.009, 0.022, 0.046, 12.095, 2, 0
1.0, 2.0, 0.278, -0.008, 1.0, 0.151, -1.0, -0.017, 0.008, 1.0, 0.185, 0.0, -0.002, 0.008, 1.0, 0.159, 1.0, -0.023, 0.008, 0.015, 12.972, 2, 0
1.0, 2.0, 0.291, -0.002, 1.0, 0.147, -1.0, -0.03, 0.002, 1.0, 0.183, 0.0, -0.015, 0.002, 1.0, 0.153, 1.0, -0.036, 0.002, 0.004, 11.245, 2, 0
1.0, 2.0, 0.318, -0.001, 1.0, 0.138, -1.0, -0.057, 0.001, 1.0, 0.177, 0.0, -0.043, 0.001, 1.0, 0.143, 1.0, -0.063, 0.001, 0.001, 12.616, 2, 0
1.0, 2.0, 0.329, -0.0, 1.0, 0.125, -1.0, -0.069, 0.0, 1.0, 0.167, 0.0, -0.054, 0.0, 1.0, 0.129, 1.0, -0.074, 0.0, -0.24, 1.096, 1, 2
1.0, 1.0, 0.33, -0.051, 1.0, 0.294, -1.0, -0.077, 0.051, 1.0, 0.112, 0.0, -0.07, 0.051, 1.0, 0.157, 1.0, -0.055, 0.051, -0.205, 0.459, 0, 2
1.0, 1.0, 0.328, -0.073, 1.0, 0.28, -1.0, -0.075, 0.073, 1.0, 0.099, 0.0, -0.068, 0.073, 1.0, 0.147, 1.0, -0.053, 0.073, 0.059, 0.192, 0, 2
